;PM10;PM2.5;Vel Viento 10M;Precipitacion;Dir Viento 10M;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;;HR;
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;ppb;°C;W/M²;;%;
01-01-2023 02:41;11;2;1,5;0;152;18,1;0,1;1,5;0,7;2,2;0;20,8;286;;44,72;
01-01-2023 03:41;10;1;0,9;0;122;16,1;0,1;2,2;2,1;4,4;0;19,4;163;;51,8;
01-01-2023 04:41;16;5;1,1;0;253;22,2;0,1;0,4;0,9;1,3;0;20,1;139;;50,04;
01-01-2023 05:41;22;8;1,8;0;257;27,4;0,1;0,1;1,9;2;0;15,7;6;;66,55;
01-01-2023 01:42;22;12;1;0;209;25,6;0,1;0;2;2;0;14,5;0;;74,32;
01-01-2023 02:42;26;18;1,2;1,4;188;18,5;0,4;0,4;12,1;12,5;0;14,1;0;;78,27;
01-01-2023 03:42;35;29;0,6;0,2;247;15,8;0,3;0,2;8,6;8,8;0;13,4;0;;82,12;
01-01-2023 04:42;30;22;0,7;0,4;286;15,9;0,2;0;4,8;4,7;0;12,8;0;;81,65;
01-01-2023 05:42;14;10;0,4;14,1;327;9,7;0,2;2,1;9,3;11,4;0;11,9;0;;81,9;
01-01-2023 01:43;15;8;0,2;1,1;297;13,6;0,1;0,4;3,7;4,1;0;11,7;0;;84,41;
01-01-2023 02:43;6;6;0,2;0;300;13,5;0,1;0;1,7;1,7;0;11,9;0;;85,36;
01-01-2023 03:43;10;3;0,3;1,7;204;13,1;0,1;0,2;1,4;1,6;0;12;0;;85,35;
01-01-2023 04:43;10;1;0,5;7,9;106;7,7;0,1;7,6;12;19,6;0;11,7;0;;85,25;
01-01-2023 05:43;6;4;0,1;0,4;5;2,2;0,2;13,2;20;33,2;0;11,5;0;;85,3;
01-01-2023 01:44;18;5;0,1;0;314;0,4;0,3;38,2;16,3;54,5;0;11,5;0;;85,6;
01-01-2023 02:44;23;16;0,1;0;326;1,2;0,4;44,7;12,4;57;0;11,6;0;;85,96;
01-01-2023 03:44;31;20;0,2;0;299;1,1;0,9;78,1;12,7;90,9;0;11,7;6;;86,17;
01-01-2023 04:44;36;22;0,6;0;342;0,7;0,8;58,6;12,7;71,3;0;12,7;71;;86,79;
01-01-2023 05:44;36;29;1,2;0;345;4,7;0,4;23,9;8,7;32,6;0;14,3;184;;81,46;
01-01-2023 01:45;35;21;1,3;0,2;337;6,8;0,2;10;5,7;15,6;0;15,9;232;;72,61;
01-01-2023 02:45;19;13;1,3;0;339;11,7;0,1;3,5;2,1;5,6;0;16,7;230;;64,78;
01-01-2023 03:45;16;9;0,4;0,2;246;10,2;0,2;9,2;6,3;15,5;0;17;193;;67,53;
01-01-2023 04:45;22;11;1,1;0;159;10,3;0,3;13,9;9,8;23,7;0;17,8;257;;62,74;
01-01-2023 05:45;22;17;1,1;0;192;16,9;0,3;7,4;7,2;14,6;0;18;258;;59,14;
01-01-2023 01:46;25;9;1,9;0;255;25,3;0,2;3,1;5,2;8,3;0;19;349;;56,85;
01-01-2023 02:46;22;13;1,5;7,6;274;26,4;0,1;0,4;1,6;2;0;16,1;83;;65,08;
01-01-2023 03:46;19;10;0,4;1;136;10,5;0,4;13,5;13,8;27,3;0;14,4;14;;78,32;
01-01-2023 04:46;25;23;1,1;0;185;9,7;0,6;7,8;21;28,8;0;13,8;0;;81,09;
01-01-2023 05:46;24;22;0,5;0,4;38;3,2;0,8;13,1;26,6;39,7;0;13,1;0;;82,06;
01-01-2023 01:47;22;18;0,4;0;345;8,6;0,5;9,2;15,6;24,8;0;12,7;0;;83,35;
01-01-2023 02:47;27;17;0,5;0;327;2;0,5;13,7;18,2;31,9;0;11,9;0;;83,26;
01-01-2023 03:47;22;8;0,3;0,1;315;1,2;0,4;10,6;14,2;24,8;0;11,1;0;;84,06;
01-01-2023 04:47;22;10;0,3;0;288;0,8;1,1;80,2;13,3;93,5;0;11,4;0;;85,43;
